Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
"we study cosmological perturbations in two-field inflation, allowing for non-standard kinetic terms. we calculate analytically the spectra of curvature and isocurvature modes at hubble crossing, up to first order in the slow-roll parameters. we also compute numerically the evolution of the curvature and isocurvature modes from well within the hubble radius until the end of inflation. we show explicitly for a few examples, including the recently proposed model of `roulette' inflation, how isocurvature perturbations affect significantly the curvature perturbation between hubble crossing and the end of inflation.",curvature and isocurvature perturbations in two-field inflation,Cosmological Perturbations in Two-Field Inflation: From Hubble Crossing to the End of Inflation,0.7972687,last_layer
"this article has been withdrawn because it has been merged with the earlier article gct3 (arxiv: cs/0501076 [cs.cc]) in the series. the merged article is now available as: geometric complexity theory iii: on deciding nonvanishing of a littlewood-richardson coefficient, journal of algebraic combinatorics, vol. 36, issue 1, 2012, pp. 103-110. (authors: ketan mulmuley, hari narayanan and milind sohoni) the new article in this gct5 slot in the series is: geometric complexity theory v: equivalence between blackbox derandomization of polynomial identity testing and derandomization of noether's normalization lemma, in the proceedings of focs 2012 (abstract), arxiv:1209.5993 [cs.cc] (full version) (author: ketan mulmuley)",geometric complexity theory v: on deciding nonvanishing of a generalized littlewood-richardson coefficient,equivalence of black box derandomization of polynomial identity testing and derandomization of noether's normalization lemma in geometric complexity theory,0.53361034,last_layer
"one-dimensional scattering problem admitting a complex, pt-symmetric short-range potential v(x) is considered. using a runge-kutta-discretized version of schroedinger equation we derive the formulae for the reflection and transmission coefficients and emphasize that the only innovation emerges in fact via a complexification of one of the potential-characterizing parameters.",a schematic model of scattering in pt-symmetric quantum mechanics,"the one-dimensional one-parameter Schrödinger equation with a complex-valued short-range interaction potential is studied. employing a Runge-Kutta discretization of the Schrödinger equation, the reflection and transmission coefficients are derived. the main innovation comes from the complexification of one of the parameter-dependent terms, which leads",0.36062855,last_layer
"in this note we consider the time of the collision $\tau$ for $n$ independent brownian motions $x^1_t,...,x_t^n$ with drifts $a_1,...,a_n$, each starting from $x=(x_1,...,x_n)$, where $x_1<...<x_n$. we show the exact asymptotics of $p_x(\tau>t) = c h(x)t^{-\alpha}e^{-\gamma t}(1 + o(1))$ as $t\to\infty$ and identify $c,h(x),\alpha,\gamma$ in terms of the drifts.",the exact asymptotic of the collision time tail distribution for independent brownian particles with different drifts,"we consider the time of the collision τ for n independent Brownian motions x1,...,xn with drifts ai, ..., an, each starting from xi = (xi1,...,xin), where xi1 < ... < xi(n). we show the exact asymptotics of p_x(τ > t) = c",0.8058654,last_layer
"employing density-functional calculations we study single and double graphene layers on si- and c-terminated 1x1-6h-sic surfaces. we show that, in contrast to earlier assumptions, the first carbon layer is covalently bonded to the substrate, and cannot be responsible for the graphene-type electronic spectrum observed experimentally. the characteristic spectrum of free-standing graphene appears with the second carbon layer, which exhibits a weak van der waals bonding to the underlying structure. for si-terminated substrate, the interface is metallic, whereas on c-face it is semiconducting or semimetallic for single or double graphene coverage, respectively.",ab initio study of graphene on sic,Single and Double Graphene Layers on Si and C Surfaces: A Density-Functional Study,0.58845425,last_layer
"given a multiple-input multiple-output (mimo) channel, feedback from the receiver can be used to specify a transmit precoding matrix, which selectively activates the strongest channel modes. here we analyze the performance of random vector quantization (rvq), in which the precoding matrix is selected from a random codebook containing independent, isotropically distributed entries. we assume that channel elements are i.i.d. and known to the receiver, which relays the optimal (rate-maximizing) precoder codebook index to the transmitter using b bits. we first derive the large system capacity of beamforming (rank-one precoding matrix) as a function of b, where large system refers to the limit as b and the number of transmit and receive antennas all go to infinity with fixed ratios. with beamforming rvq is asymptotically optimal, i.e., no other quantization scheme can achieve a larger asymptotic rate. the performance of rvq is also compared with that of a simpler reduced-rank scalar quantization scheme in which the beamformer is constrained to lie in a random subspace. we subsequently consider a precoding matrix with arbitrary rank, and approximate the asymptotic rvq performance with optimal and linear receivers (matched filter and minimum mean squared error (mmse)). numerical examples show that these approximations accurately predict the performance of finite-size systems of interest. given a target spectral efficiency, numerical examples show that the amount of feedback required by the linear mmse receiver is only slightly more than that required by the optimal receiver, whereas the matched filter can require significantly more feedback.",capacity of a multiple-antenna fading channel with a quantized precoding matrix,"suggesting titles based on the abstract, you might suggest the following titles:

1. ""Performance Analysis of Random Vector Quantization for Multiple Input Multiple Output Channels""
2. ""Optimal Precoding Matrix Selection in Beamforming with RVQ""
3. ""Comparison of RFVQ Performance with Optimal Receivers""
4",0.39148188,last_layer
"in some particular cases we give criteria for morphic sequences to be almost periodic (=uniformly recurrent). namely, we deal with fixed points of non-erasing morphisms and with automatic sequences. in both cases a polynomial-time algorithm solving the problem is found. a result more or less supporting the conjecture of decidability of the general problem is given.",on almost periodicity criteria for morphic sequences in some particular cases,a new approach to finding periodic patterns in strings,0.37244278,last_layer
"we present new observational results obtained for the galactic non-thermal radio source g328.4+0.2 to determine both if this source is a pulsar wind nebula or supernova remnant, and in either case, the physical properties of this source. using x-ray data obtained by xmm, we confirm that the x-ray emission from this source is heavily absorbed and has a spectrum best fit by a power law model of photon index=2 with no evidence for a thermal component, the x-ray emission from g328.4+0.2 comes from a region significantly smaller than the radio emission, and that the x-ray and radio emission are significantly offset from each other. we also present the results of a new high resolution (7 arcseconds) 1.4 ghz image of g328.4+0.2 obtained using the australia telescope compact array, and a deep search for radio pulsations using the parkes radio telescope. we find that the radio emission has a flat spectrum, though some areas along the eastern edge of g328.4+0.2 have a steeper radio spectral index of ~-0.3. additionally, we obtain a luminosity limit of the central pulsar of l_{1400} < 30 mjy kpc^2, assuming a distance of 17 kpc. in light of these observational results, we test if g328.4+0.2 is a pulsar wind nebula (pwn) or a large pwn inside a supernova remnant (snr) using a simple hydrodynamic model for the evolution of a pwn inside a snr. as a result of this analysis, we conclude that g328.4+0.2 is a young (< 10000 years old) pulsar wind nebula formed by a low magnetic field (<10^12 g) neutron star born spinning rapidly (<10 ms) expanding into an undetected snr formed by an energetic (>10^51 ergs), low ejecta mass (m < 5 solar masses) supernova explosion which occurred in a low density (n~0.03 cm^{-3}) environment.","the radio emission, x-ray emission, and hydrodynamics of g328.4+0.2: a comprehensive analysis of a luminous pulsar wind nebula, its neutron star, and the progenitor supernova explosion",Galactic Non-Terrestrial Radio Sources: Observational Evidence and Hydrodynamic Evolution,0.47561318,last_layer
"two-particle correlations have shown modification to the away-side shape in central au+au collisions relative to $pp$, d+au and peripheral au+au collisions. different scenarios can explain this modification including: large angle gluon radiation, jets deflected by transverse flow, path length dependent energy loss, cerenkov gluon radiation of fast moving particles, and conical flow generated by hydrodynamic mach-cone shock-waves. three-particle correlations have the power to distinguish the scenarios with conical emission, conical flow and cerenkov radiation, from other scenarios. in addition, the dependence of the observed shapes on the $p_t$ of the associated particles can be used to distinguish conical emission from a sonic boom (mach-cone) and from qcd-cerenkov radiation. we present results from star on 3-particle azimuthal correlations for a high $p_t$ trigger particle with two softer particles. results are shown for $pp$, d+au and high statistics au+au collisions at $\sqrt{s_{nn}}$=200 gev. an important aspect of the analysis is the subtraction of combinatorial backgrounds. systematic uncertainties due to this subtraction and the flow harmonics v2 and v4 are investigated in detail. the implications of the results for the presence or absence of conical flow from mach-cones are discussed.",three particle correlations from star,three-particle azimuthal correlation for a high p_t trigger particle with two softer particles,0.60307056,last_layer
"we demonstrate that as we extrapolate the current $\lambda$cdm universe forward in time, all evidence of the hubble expansion will disappear, so that observers in our ""island universe"" will be fundamentally incapable of determining the true nature of the universe, including the existence of the highly dominant vacuum energy, the existence of the cmb, and the primordial origin of light elements. with these pillars of the modern big bang gone, this epoch will mark the end of cosmology and the return of a static universe. in this sense, the coordinate system appropriate for future observers will perhaps fittingly resemble the static coordinate system in which the de sitter universe was first presented.",the return of a static universe and the end of cosmology,Cosmological horizons: beyond the horizon view,0.5650118,last_layer
"a new estimation of the gamma-ray flux that we expect to detect from susy dark matter annihilation from the draco dsph is presented using the dm density profiles compatible with the latest observations. this calculation takes also into account the important effect of the point spread function (psf) of the telescope. we show that this effect is crucial in the way we will observe and interpret a possible signal detection. finally, we discuss the prospects to detect a possible gamma signal from draco for magic and glast.",dark matter annihilation in draco: new considerations on the expected gamma flux,"a new study presents an estimate of the gamma-ray flux expected to be detected from SUSY dark matter annihilation from the DRACO data, taking into account the compatibility of the DM density profiles with the most recent observational constraints. The analysis accounts for the impact of the PSF of the telescope on the observed signal,",0.794967,last_layer
"we construct magnetohydrodynamic (mhd) similarity rebound shocks joining `quasi-static' asymptotic solutions around the central degenerate core to explore an mhd model for the evolution of random magnetic field in supernova explosions. this provides a theoretical basis for further studying synchrotron diagnostics, mhd shock acceleration of cosmic rays, and the nature of intense magnetic field in compact objects. the magnetic field strength in space approaches a limiting ratio, that is comparable to the ratio of the ejecta mass driven out versus the progenitor mass, during this self-similar rebound mhd shock evolution. the intense magnetic field of the remnant compact star as compared to that of the progenitor star is mainly attributed to both the gravitational core collapse and the radial distribution of magnetic field.",magnetohydrodynamic rebound shocks of supernovae,"Theoretical framework for simulating the complex dynamics of magnetized plasma systems through the lens of relativistic magnetohydrodynamics (MHD), with a focus on the mhd-like properties at the interface between the central degenerate core and the surrounding interstellar medium.",0.44420624,last_layer
"we present results from star on 3-particle azimuthal correlations for a $3<p_t<4$ gev/c trigger particle with two softer $1<p_t<2$ gev/c particles. results are shown for pp, d+au and high statistics au+au collisions at $\sqrt{s_{nn}}=200 gev$. we observe a 3-particle correlation in central au+au collisions which may indicate the presence of conical emission. in addition, the dependence of the observed signal angular position on the $p_t$ of the associated particles can be used to distinguish conical flow from simple qcd-\v{c}erenkov radiation. an important aspect of the analysis is the subtraction of combinatorial backgrounds. systematic uncertainties due to this subtraction and the flow harmonics $v_2$ and $v_4$ are investigated in detail.",are there mach cones in heavy ion collisions? three-particle correlations from star,star correlations in pp collisions at $\sqrt{s_{nn}} = 200 gev$,0.4728809,last_layer
"cosmic infrared background (cib) includes emissions from objects inaccessible to current telescopic studies, such as the putative population iii, the first stars. recently, strong direct evidence for significant cib levels produced by the first stars came from cib fluctuations discovered in deep spitzer images. such cib levels should have left a unique absorption feature in the spectra of high-z grbs and blazars as suggested in [4]. this is observable with glast sources at z>2 and measuring this absorption will give important information on energetics and constituents of the first stars era.",exploring first stars era with glast,Cosmic Infrared Background: Absorption Features of First Stars Era,0.5403099,last_layer
"it has been suggested that x-ray observations of rapidly variable seyfert galaxies may hold the key to probe the gas orbital motions in the innermost regions of accretion discs around black holes and, thus, trace flow patterns under the effect of the hole strong gravitational field. we explore this possibility analizing xmm-newton observations of the seyfert 1 galaxy ngc 3783. a detiled time-resolved spectral analysis is performed down to the shortest possible time-scales (few ks) using ""excess maps"" and cross-correlating light curves in different energy bands. in addition to a constant core of the fe k alpha line, we detected a variable and redshifted fe k alpha emission feature between 5.3-6.1 kev. the line exhibits a modulation on a time-scale of 27 ks that is similar to and in phase with a modulation of the 0.3-10 kev source continuum. the time-scale of the correlated variability of the redshifted fe line and continuum agrees with the local dynamical time-scale of the accretion disc at 10 r_g around a black hole of 10^7 m_sun. given the shape of the redshfted line emission and the overall x-ray variability pattern, the line is likely to arise from the relativistic region near the black hole.",correlated modulation between the redshifted fe k alpha line and the continuum emission in ngc 3783,A novel approach combining X-ray spectroscopy and X-ray timing reveals a variable line-of-sight emission from an accreting black hole in a rapidly rotating Seyfert galaxy.,0.41647515,last_layer
"a systematic study of isotopic effects in the break-up of projectile spectators at relativistic energies has been performed at the gsi laboratory with the aladin spectrometer coupled to the land neutron detector. besides a primary beam of 124sn, also secondary beams of 124la and 107sn produced at the frs fragment separator have been used in order to extend the range of isotopic compositions. the gross properties of projectile fragmentation are very similar for all the studied systems but specific isotopic effects have been observed in both neutron and charged particle production. the breakup temperatures obtained from the double ratios of isotopic yields have been extracted and compared with the limiting-temperature expectation.",isotopic effects in nuclear reactions at relativistic energies,"A systematic study of isotopic effects in the break-up of projectile spectators at relativistic energies has been conducted at the GSI Laboratory using the ALIDE spectrometer coupled with the Land Neutron Detector (LND). The primary beam included 124Sn, which was used as the reference element to establish the",0.52679133,last_layer
"starting with a field theoretic approach in minkowski space, the gravitational energy momentum tensor is derived from the einstein equations in a straightforward manner. this allows to present them as {\it acceleration tensor} = const. $\times$ {\it total energy momentum tensor}. for flat space cosmology the gravitational energy is negative and cancels the material energy. in the relativistic theory of gravitation a bimetric coupling between the riemann and minkowski metrics breaks general coordinate invariance. the case of a positive cosmological constant is considered. a singularity free version of the schwarzschild black hole is solved analytically. in the interior the components of the metric tensor quickly die out, but do not change sign, leaving the role of time as usual. for cosmology the $\lambda$cdm model is covered, while there appears a form of inflation at early times. here both the total energy and the zero point energy vanish.","einstein vs maxwell: is gravitation a curvature of space, a field in flat space, or both?",a review of recent developments in the application of field theories to gravitation in curved spacetimes,0.64983535,last_layer
"this article belongs to a series on geometric complexity theory (gct), an approach to the p vs. np and related problems through algebraic geometry and representation theory. the basic principle behind this approach is called the flip. in essence, it reduces the negative hypothesis in complexity theory (the lower bound problems), such as the p vs. np problem in characteristic zero, to the positive hypothesis in complexity theory (the upper bound problems): specifically, to showing that the problems of deciding nonvanishing of the fundamental structural constants in representation theory and algebraic geometry, such as the well known plethysm constants--or rather certain relaxed forms of these decision probelms--belong to the complexity class p. in this article, we suggest a plan for implementing the flip, i.e., for showing that these relaxed decision problems belong to p. this is based on the reduction of the preceding complexity-theoretic positive hypotheses to mathematical positivity hypotheses: specifically, to showing that there exist positive formulae--i.e. formulae with nonnegative coefficients--for the structural constants under consideration and certain functions associated with them. these turn out be intimately related to the similar positivity properties of the kazhdan-lusztig polynomials and the multiplicative structural constants of the canonical (global crystal) bases in the theory of drinfeld-jimbo quantum groups. the known proofs of these positivity properties depend on the riemann hypothesis over finite fields and the related results. thus the reduction here, in conjunction with the flip, in essence, says that the validity of the p vs. np conjecture in characteristic zero is intimately linked to the riemann hypothesis over finite fields and related problems.",geometric complexity theory vi: the flip via saturated and positive integer programming in representation theory and algebraic geometry,Title: Flip Theorem for Decision Problems in Geometric Complexity Theory,0.6546725,last_layer
"the identification of basaltic asteroids in the asteroid main belt and the description of their surface mineralogy is necessary to understand the diversity in the collection of basaltic meteorites. basaltic asteroids can be identified from their visible reflectance spectra and are classified as v-type in the usual taxonomies. in this work, we report visible spectroscopic observations of two candidate v-type asteroids, (7472) kumakiri and (10537) 1991 ry16, located in the outer main belt (a > 2.85 ua). these candidate have been previously identified by roig and gil-hutton (2006, icarus 183, 411) using the sloan digital sky survey colors. the spectroscopic observations have been obtained at the calar alto observatory, spain, during observational runs in november and december 2006. the spectra of these two asteroids show the steep slope shortwards of 0.70 microns and the deep absorption feature longwards of 0.75 microns that are characteristic of v-type asteroids. however, the presence of a shallow but conspicuous absorption band around 0.65 microns opens some questions about the actual mineralogy of these two asteroids. such band has never been observed before in basaltic asteroids with the intensity we detected it. we discuss the possibility for this shallow absorption feature to be caused by the presence of chromium on the asteroid surface. our results indicate that, together with (1459) magnya, asteroids (7472) kumakiri and (10537) 1991 ry16 may be the only traces of basaltic material found up to now in the outer main belt.",two new basaltic asteroids in the outer main belt?,Identification of Basalitc Asteroids in the Asteroid Main Belt: Surface Mineralogy and Spectroscopy,0.60859054,last_layer
we provide a description of the interpolating and sampling sequences on a space of holomorphic functions with a uniform growth restriction defined on finite riemann surfaces.,interpolating and sampling sequences in finite riemann surfaces,"we explore the properties of interpolating and sampling sequences for spaces of holomorphic functions, focusing on sequences that satisfy a uniform growth restriction on finite Riemann surfaces.",0.81576955,last_layer
"in this expository article we review recent advances in our understanding of the combinatorial and algebraic structure of perturbation theory in terms of feynman graphs, and dyson-schwinger equations. starting from lie and hopf algebras of feynman graphs, perturbative renormalization is rephrased algebraically. the hochschild cohomology of these hopf algebras leads the way to slavnov-taylor identities and dyson-schwinger equations. we discuss recent progress in solving simple dyson-schwinger equations in the high energy sector using the algebraic machinery. finally there is a short account on a relation to algebraic geometry and number theory: understanding feynman integrals as periods of mixed (tate) motives.",new algebraic aspects of perturbative and non-perturbative quantum field theory,"we explore recent developments in perturbation theory through the lens of Feynman graphs and their associated Hopf algebras, focusing on how this approach simplifies complex calculations in quantum field theory.",0.6376568,last_layer
"a perturbative model is studied for the tunneling of many-particle states from the ground band to the first excited energy band, mimicking landau-zener decay for ultracold, spinless atoms in quasi-one dimensional optical lattices subjected to a tunable tilting force. the distributions of the computed tunneling rates provide an independent and experimentally accessible signature of the regular-chaotic transition in the strongly correlated many-body dynamics of the ground band.",many-body interband tunneling as a witness for complex dynamics in the bose-hubbard model,A Perturbative Model for Tunneling of Many-Particle States into the First Excited Energy Band: Mimicking Landau-Zener Decay via Ultracold Spinless Atoms in Quasi-One-Dimensional Optical Lattices,0.6586333,last_layer
"in their recent paper, campana et al. (2007) found that 5 bursts, among those detected by swift, are outliers with respect to the e_peak-e_gamma (""ghirlanda"") correlation. we instead argue that they are not.","comments on ``are swift gamma-ray bursts consistent with the ghirlanda relation?"", by campana et al.(astro--ph/0703676)",outliers in the Swift-Ghirlanda correlation,0.58748573,last_layer
"apart from its mass and width, the most important property of a new charged gauge boson, $w'$, is the helicity of its couplings to the sm fermions. such particles are expected to exist in many extensions of the standard model. in this paper we explore the capability of the lhc to determine the $w'$ coupling helicity at low integrated luminosities in the $\ell +e_t^{miss}$ discovery channel. we find that measurements of the transverse mass distribution, reconstructed from this final state in the $w-w'$ interference region, provides the best determination of this quantity. to make such measurements requires integrated luminosities of $\sim 10(60) fb^{-1}$ assuming $m_{w'}=1.5(2.5)$ tev and provided that the $w'$ couplings have standard model magnitude. this helicity determination can be further strengthened by the use of various discovery channel leptonic asymmetries, also measured in the same interference regime, but with higher integrated luminosities.",the determination of the helicity of $w'$ boson couplings at the lhc,Measurement of $w$-boson couplings at the LHC,0.8310159,last_layer
"we prove that the limit hypersurfaces of converging curvature flows are stable, if the initial velocity has a weak sign, and give a survey of the existence and regularity results.",curvature flows in semi-riemannian manifolds,"we prove that the limit hypersurfaces of converging curvature flows are stable, if the initial velocity has a weak sign, and give a survey of the existence and regularity results.",0.58352435,last_layer
"we describe preliminary results of a global model of the radiatively-driven photoionized wind and accretion flow of the high-mass x-ray binary vela x-1. the full model combines flash hydrodynamic calculations, xstar photoionization calculations, hullac atomic data, and monte carlo radiation transport. we present maps of the density, temperature, velocity, and ionization parameter from a flash two-dimensional time-dependent simulation of vela x-1, as well as maps of the emissivity distributions of the x-ray emission lines.",hydrodynamic and spectral simulations of hmxb winds,"""Modeling Radiative Photoionization Winds and Accretion Flows in Vela X-1 Using a Global Hydrodynamical Framework""",0.4436537,last_layer
"the extraordinary astrometric accuracy of radio interferometry creates an important and unique opportunity for the discovery and characterization of exo-planets. currently, the very long baseline array can routinely achieve better than 100 microarcsecond accuracy, and can approach 10 microarcsecond with careful calibration. we describe here ripl, the radio interferometric planet search, a new program with the vlba and the green bank 100 m telescope that will survey 29 low-mass, active stars over 3 years with sub-jovian planet mass sensitivity at 1 au. an upgrade of the vlba bandwidth will increase astrometric accuracy by an order of magnitude. ultimately, the colossal collecting area of the square kilometer array could push astrometric accuracy to 1 microarcsecond, making detection and characterizaiton of earth mass planets possible. ripl and other future radio astrometric planet searches occupy a unique volume in planet discovery and characterization parameter space. the parameter space of astrometric searches gives greater sensitivity to planets at large radii than radial velocity searches. for the vlba and the expanded vlba, the targets of radio astrometric surveys are by necessity nearby, low-mass, active stars, which cannot be studied efficiently through the radial velocity method, coronagraphy, or optical interferometry. for the ska, detection sensitivity will extend to solar-type stars. planets discovered through radio astrometric methods will be suitable for characterization through extreme adaptive optics. the complementarity of radio astrometric techniques with other methods demonstrates that radio astrometry can play an important role in the roadmap for exoplanet discovery and characterization.",radio astrometric detection and characterization of extra-solar planets: a white paper submitted to the nsf exoplanet task force,Radio Astrometry for Exoplanet Discovery,0.74219114,last_layer
"an analytical description of the interface motion of a collapsing nanometer-sized spherical cavity in water is presented by a modification of the rayleigh-plesset equation in conjunction with explicit solvent molecular dynamics simulations. quantitative agreement is found between the two approaches for the time-dependent cavity radius $r(t)$ at different solvent conditions while in the continuum picture the solvent viscosity has to be corrected for curvature effects. the typical magnitude of the interface or collapse velocity is found to be given by the ratio of surface tension and fluid viscosity, $v\simeq\gamma/\eta$, while the curvature correction accelerates collapse dynamics on length scales below the equilibrium crossover scales ($\sim$1nm). the study offers a starting point for an efficient implicit modeling of water dynamics in aqueous nanoassembly and protein systems in nonequilibrium.",interface dynamics of microscopic cavities in water,"a review of recent experimental evidence for the collapse of spherical cavities in water is provided, focusing on the use of the modified Rayleigh-Plessis equation and the analysis of solvent-induced effects such as curvature.",0.62295496,last_layer
"we review recent progress in applying the ads/cft correspondence to finite-temperature field theory. in particular, we show how the hydrodynamic behavior of field theory is reflected in the low-momentum limit of correlation functions computed through a real-time ads/cft prescription, which we formulate. we also show how the hydrodynamic modes in field theory correspond to the low-lying quasinormal modes of the ads black p-brane metric. we provide a proof of the universality of the viscosity/entropy ratio within a class of theories with gravity duals and formulate a viscosity bound conjecture. possible implications for real systems are mentioned.","viscosity, black holes, and quantum field theory",Recent Progress in Applying the Ads/CFT Correspondence to Finite-Temperature Field Theory,0.35589054,last_layer
