abstract,title
"  We generalize the tensor product theory for modules for a vertex operator
algebra previously developed in a series of papers by the first two authors to
suitable module categories for a ''conformal vertex algebra'' or even more
generally, for a ""M\""obius vertex algebra.'' We do not require the module
categories to be semisimple, and we accommodate modules with generalized weight
spaces. As in the earlier series of papers, our tensor product functors depend
on a complex variable, but in the present generality, the logarithm of the
complex variable is required; the general representation theory of vertex
operator algebras requires logarithmic structure. The first part of this work
is devoted to the study of logarithmic intertwining operators and their role in
the construction of the tensor product functors. The remainder of this work is
devoted to the construction of the appropriate natural associativity
isomorphisms between triple tensor product functors, to the proof of their
fundamental properties, and to the construction of the resulting braided tensor
category structure. This work includes the complete proofs in the present
generality and can be read independently of the earlier series of papers.
","Logarithmic tensor product theory for generalized modules for a
  conformal vertex algebra"
"  The possibility of quantum oscillations of the tunnel conductance and
magnetoresistance induced by spin-wave excitations in a
ferromagnet-ferromagnet-ferromagnet double barrier tunnel junction, when the
magnetizations of the two side ferromagnets are aligned antiparallel to that of
the middle ferromagnet, is investigated in a self-consistent manner by means of
Keldysh nonequilibrium Green function method. It has been found that owing to
the s-d exchange interactions between conduction electrons and the spin density
induced by spin accumulation in the middle ferromagnet, the differential
conductance and the TMR indeed oscillate with the increase of bias voltage,
being consistent with the phenomenon that is observed recently in experiments.
The effects of magnon modes, the energy levels of electrons as well as the
molecular field in the central ferromagnet on the oscillatory transport
property of the system are also discussed.
","Quantum Oscillations of Tunnel Magnetoresistance Induced by Spin-Wave
  Excitations in Ferromagnet-Ferromagnet-Ferromagnet Double Barrier Tunnel
  Junctions"
"  Anyons are quasiparticles in two-dimensional systems that show statistical
properties very distinct from those of bosons or fermions. While their isolated
observation has not yet been achieved, here we perform a quantum simulation of
anyons on the toric code model. By encoding the model in the multi-partite
entangled state of polarized photons, we are able to demonstrate various
manipulations of anyonic states and, in particular, their characteristic
fractional statistics.
",Revealing anyonic features in a toric code quantum simulation
"  The Milagro experiment observes the extensive air showers produced by very
high energy gamma-rays impacting the Earth's atmosphere. Milagro uses 898
Hamamatsu R5912 Photomultiplier Tubes. To complete our Monte Carlo simulations,
we tested the photocathode uniformity of our PMTs. The main finding was that
the PMT gain and detection efficiency are a function of the distance from the
center of the photocathode. Both quantities become considerably smaller as the
illumination position nears the edge of the photocathode.
","Photocathode-Uniformity Tests of the Hamamatsu R5912 Photomultiplier
  Tubes Used in the Milagro Experiment"
"  We analyze 205 ks of imaging data of the active binary, Capella, obtained
with the Chandra High Resolution Camera Imager (HRC-I) to determine whether
Capella shows any variability at timescales < 50 ks. We find that a clear
signal for variability is present for timescales < 20 ks, and that the light
curves show evidence for excess fluctuation over that expected from a purely
Poisson process. This overdispersion is consistent with variability at the 2-7%
level, and suggests that the coronae on the binary components of Capella are
composed of low-density plasma and low-lying loops.
",Short Timescale Coronal Variability in Capella
"  We show that the heat transport between two bodies, mediated by
electromagnetic fluctuations, can be controlled with an intermediate quantum
circuit - leading to the device concept Mesoscopic Photon Heat Transistor
(MPHT). Our theoretical analysis is based on a novel Meir-Wingreen-Landauer
type of conductance formula, which gives the photonic heat current through an
arbitrary circuit element coupled to two dissipative reservoirs at finite
temperatures. As an illustration we present an exact solution for the case when
the intermediate circuit can be described as an electromagnetic resonator. We
discuss in detail how the MPHT can be implemented experimentally in terms of a
flux-controlled SQUID circuit.
",Mesoscopic photon heat transistor
"  Superconductivity has recently been discovered in
Pr$_{2}$Ba$_{4}$Cu$_{7}$O$_{15-\delta}$ with a maximum $T_c$ of about 15K.
Since the CuO planes in this material are believed to be insulating, it has
been proposed that the superconductivity occurs in the double (or zigzag) CuO
chain layer. On phenomenological grounds, we propose a theoretical
interpretation of the experimental results in terms of a new phase for the
zigzag chain, labelled by C$_1$S$_{3/2}$. This phase has a gap for some of the
relative spin and charge modes but no total spin gap, and can have a divergent
superconducting susceptibility for repulsive interactions. A microscopic model
for the zigzag CuO chain is proposed, and on the basis of density matrix
renormalization group (DMRG) and bosonization studies of this model, we adduce
evidence that supports our proposal.
",Superconductivity in zigzag CuO chains
"  We review the Resonating Valence Bond (RVB) theory of high temperatur e
superconductivity using Gutzwiller projected wave functions that incorporate
strong correlations. After a general overview of the phenomenon of high
temperature superconductivity, we discuss Anderson's RVB picture and its
implementation by renormalised mean field theory (RMFT) and variational Monte
Carlo (VMC) techniques. We review RMFT and VMC results with an emphasis on
recent development s in extending VMC and RMFT techniques to excited states. We
compare results obtained from these methods with angle resolved photoemission
spectroscopy (ARPES) and scanning tunnelling microscopy (STM). We conclude by
summarising recent successes of this approach and discuss open problems that
need to be solved for a consistent and complete description of high temperature
superconductivity using Gutzwiller projected wave functions.
","Gutzwiller-RVB Theory of High Temperature Superconductivity: Results
  from Renormalised Mean Field Theory and Variational Monte Carlo Calculations"
"  An explicit formula for the chaotic representation of the powers of
increments, (X_{t+t_0}-X_{t_0})^n, of a Levy process is presented. There are
two different chaos expansions of a square integrable functional of a Levy
process: one with respect to the compensated Poisson random measure and the
other with respect to the orthogonal compensated powers of the jumps of the
Levy process. Computationally explicit formulae for both of these chaos
expansions of (X_{t+t_0}-X_{t_0})^n are given in this paper. Simulation results
verify that the representation is satisfactory. The CRP of a number of
financial derivatives can be found by expressing them in terms of
(X_{t+t_0}-X_{t_0})^n using Taylor's expansion.
","The Explicit Chaotic Representation of the powers of increments of Levy
  Processes"
"  Given a hypergraph G, we introduce a Grassmann algebra over the vertex set,
and show that a class of Grassmann integrals permits an expansion in terms of
spanning hyperforests. Special cases provide the generating functions for
rooted and unrooted spanning (hyper)forests and spanning (hyper)trees. All
these results are generalizations of Kirchhoff's matrix-tree theorem.
Furthermore, we show that the class of integrals describing unrooted spanning
(hyper)forests is induced by a theory with an underlying OSP(1|2)
supersymmetry.
",Grassmann Integral Representation for Spanning Hyperforests
"  We address the role of multiplicative stochastic processes in modeling the
occurrence of power-law city size distributions. As an explanation of the
result of Zipf's rank analysis, Simon's model is presented in a mathematically
elementary way, with a thorough discussion of the involved hypotheses. Emphasis
is put on the flexibility of the model, as to its possible extensions and the
relaxation of some strong assumptions. We point out some open problems
regarding the prediction of the detailed shape of Zipf's rank plots, which may
be tackled by means of such extensions.
","Zipf's law and city sizes: A short tutorial review on multiplicative
  processes in urban growth"
"  While measurements of the polar dependence of the surface free energy are
easily available, measurements of the whole polar dependence of the surface
stress of a crystal do not exist. In this paper is presented a new procedure
that allows, for the first time, the experimental determination of the surface
stress polar dependence of a crystal. For this purpose (1) electromigration is
used to control the kinetic faceting of surface orientations that belong to the
equilibrium shape of the crystal and (2) for each destabilised surface, the
period of faceting as well as the crystallographic angles of the appearing
facets are measured by AFM. The so-obtained data lead to a set of equations
whose mathematical solution, compatible with physical constraints, gives access
to the surface stress polar dependence of the whole crystal and thus to a
better understanding of surface stress properties.
",Measuring the surface stress polar dependence
"  An algorithm is presented here to get more detailed information, of mixed
culture type, based exclusively on the biomass concentration data for
fermentation processes. The analysis is performed with only the on-line
measurements of the redox potential being available. It is a two-step procedure
which includes an Artificial Neural Network (ANN) that relates the redox
potential to the biomass concentrations in the first step. Next, a multifractal
wavelet analysis is performed using the biomass estimates of the process. In
this context, our results show that the redox potential is a valuable indicator
of microorganism metabolic activity during the spontaneous fermentation. In
this paper, the detailed design of the multifractal wavelet analysis is
presented, as well as its direct experimental application at the laboratory
level
","Application of multifractal wavelet analysis to spontaneous fermentation
  processes"
"  We study the azimuthal asymmetric distribution of hadrons inside a high
energy jet in the single transverse polarized proton proton scattering, coming
from the Collins effect multiplied by the quark transversity distribution. We
argue that the Collins function in this process is the same as that in the
semi-inclusive deep inelastic scattering. The experimental study of this
process will provide us important information on the quark transversity
distribution and test the universality of the fragmentation functions.
","Azimuthal Asymmetric Distribution of Hadrons Inside a Jet at Hadron
  Collider"
"  We study the problem of the attractive inverse square potential in quantum
mechanics with a generalized uncertainty relation. Using the momentum
representation, we show that this potential is regular in this framework. We
solve analytically the s-wave bound states equation in terms of Heun's
functions. We discuss in detail the bound states spectrum for a specific form
of the generalized uncertainty relation. The minimal length may be interpreted
as characterizing the dimension of the system.
","Regularization of the Singular Inverse Square Potential in Quantum
  Mechanics with a Minimal length"
"  In order to investigate the hypothesis that dust aggregates were transformed
to meteoritic chondrules by nebular lightning, we exposed silicatic and
metallic dust samples to electric discharges with energies of 120 to 500 J in
air at pressures between 10 and 10^5 Pa. The target charges consisted of
powders of micrometer-sized particles and had dimensions of mm. The dust
samples generally fragmented leaving the major fraction thermally unprocessed.
A minor part formed sintered aggregates of 50 to 500 micrometer. In a few
experiments melt spherules having sizes smaller than 180 micrometer in diameter
(and, generally, interior voids) were formed; the highest spherule fraction was
obtained with metallic Ni. Our experiments indicate that chondrule formation by
electric current or by particle bombardment inside a discharge channel is
unlikely.
","Exposing metal and silicate charges to electrical discharges: Did
  chondrules form by nebular lightning?"
"  We describe the $\pi\pi$ $S$-wave in $D^+ \to\pi^+ \pi^- \pi^+$ decays using
a unitary model for the $\pi\pi$ Final State Interactions (FSI). The three body
decay is treated as a quasi two-body process where, at the weak vertex, the D
meson decays into a resonance and a pion. The weak part of the decay amplitude
is evaluated using the effective weak Hamiltonian within the factorization
approximation.
",Resonances and weak interactions in $D^+ \to\pi^+ \pi^- \pi^+$ decays
"  Stack-triangulations appear as natural objects when one wants to define some
increasing families of triangulations by successive additions of faces. We
investigate the asymptotic behavior of rooted stack-triangulations with $2n$
faces under two different distributions. We show that the uniform distribution
on this set of maps converges, for a topology of local convergence, to a
distribution on the set of infinite maps. In the other hand, we show that
rescaled by $n^{1/2}$, they converge for the Gromov-Hausdorff topology on
metric spaces to the continuum random tree introduced by Aldous. Under a
distribution induced by a natural random construction, the distance between
random points rescaled by $(6/11)\log n$ converge to 1 in probability.
  We obtain similar asymptotic results for a family of increasing
quadrangulations.
",Some families of increasing planar maps
"  In this paper we present eight-component values ""octons"", generating
associative noncommutative algebra. It is shown that the electromagnetic field
in a vacuum can be described by a generalized octonic equation, which leads
both to the wave equations for potentials and fields and to the system of
Maxwell's equations. The octonic algebra allows one to perform compact combined
calculations simultaneously with scalars, vectors, pseudoscalars and
pseudovectors. Examples of such calculations are demonstrated by deriving the
relations for energy, momentum and Lorentz invariants of the electromagnetic
field. The generalized octonic equation for electromagnetic field in a matter
is formulated.
",Octonic Electrodynamics
"  Theories of structure formation in a cold dark matter dominated
  Universe predict that massive clusters of galaxies assemble from the
hierarchical merging of lower mass subhalos. Exploiting strong and weak
gravitational lensing signals inferred from panoramic HST imaging data, we
present a high resolution reconstruction of the mass distribution in the
massive, lensing cluster Cl0024+16. Applying galaxy-galaxy lensing techniques
we track the fate of dark matter subhalos as a function of projected
cluster-centric radius out to 5 Mpc, well beyond the virial radius. We report
the first detection of the statistical lensing signal of dark matter subhalos
associated with late-type galaxies in clusters. The mass of a typical dark
matter subhalo that hosts an L* galaxy increases with projected cluster-centric
radius in line with expectations from the tidal stripping hypothesis.
Early-type galaxies appear to be hosted on average in more massive dark matter
subhalos compared to late-type galaxies. We interpret our findings as evidence
for the active assembly of mass via tidal stripping in galaxy clusters. The
mass function of dark matter subhalos as a function of projected
cluster-centric radius, is compared with an equivalent mass function derived
from clusters in the Millenium Run simulation populated with galaxies using
semi-analytic models. The shape of the lensing determined mass functions are in
very good agreement with the subhalo mass functions derived from the Millenium
Run simulation. However, simulated subhalos appear to be more efficiently
stripped than lensing observations suggest. (Abridged)
",The survival of dark matter halos in the cluster Cl0024+16
"  Using the data coming from the new 182 Gold type Ia supernova samples, the
baryon acoustic oscillation measurement from the Sloan Digital Sky Survey and
the H(z) data, we have performed a statistical joint analysis of the DGP
brane-world model with a high curvature Gauss-Bonnet term in the bulk.
Consistent parameters estimations show that the Gauss-Bonnet-Induced Gravity
model is a viable candidate to explain the observed acceleration of our
universe.
","Observational constrains on the DGP brane-world model with a
  Gauss-Bonnet term in the bulk"
"  Sensitivities to neutrino oscillation parameters for possible very long
baseline neutrino oscillation experiments are discussed. The reach for
observing a non-zero mixing angle $\theta_{13}$, establishing CP violation and
determining the mass hierarchy are compared between various experimental
options. Different possibilities for neutrino beams are briefly described, as
well as the assumptions about the performance of a large water Cherenkov and
liquid Argon detector.
",Sensitivities of Future Long Baseline Experiments in the US
"  We discuss the problem of heat conduction in quantum spin chain models. To
investigate this problem it is necessary to consider the finite open system
connected to heat baths. We describe two different procedures to couple the
system with the reservoirs: a model of stochastic heat baths and the quantum
trajectories solution of the quantum master equation. The stochastic heat bath
procedure operates on the pure wave function of the isolated system, so that it
is locally and periodically collapsed to a quantum state consistent with a
boundary nonequilibrium state. In contrast, the quantum trajectories procedure
evaluates ensemble averages in terms of the reduced density matrix operator of
the system. We apply these procedures to different models of quantum spin
chains and numerically show their applicability to study the heat flow.
","Heat Transport in Quantum Spin Chains: Stochastic Baths vs Quantum
  Trajectories"
"  We present a mathematically justifiable, computationally simple, sample
eigenvalue based procedure for estimating the number of high-dimensional
signals in white noise using relatively few samples. The main motivation for
considering a sample eigenvalue based scheme is the computational simplicity
and the robustness to eigenvector modelling errors which are can adversely
impact the performance of estimators that exploit information in the sample
eigenvectors.
  There is, however, a price we pay by discarding the information in the sample
eigenvectors; we highlight a fundamental asymptotic limit of sample eigenvalue
based detection of weak/closely spaced high-dimensional signals from a limited
sample size. This motivates our heuristic definition of the effective number of
identifiable signals which is equal to the number of ""signal"" eigenvalues of
the population covariance matrix which exceed the noise variance by a factor
strictly greater than 1+sqrt(Dimensionality of the system/Sample size). The
fundamental asymptotic limit brings into sharp focus why, when there are too
few samples available so that the effective number of signals is less than the
actual number of signals, underestimation of the model order is unavoidable (in
an asymptotic sense) when using any sample eigenvalue based detection scheme,
including the one proposed herein. The analysis reveals why adding more sensors
can only exacerbate the situation. Numerical simulations are used to
demonstrate that the proposed estimator consistently estimates the true number
of signals in the dimension fixed, large sample size limit and the effective
number of identifiable signals in the large dimension, large sample size limit.
","Sample eigenvalue based detection of high dimensional signals in white
  noise using relatively few samples"
"  Two-dimensional electron gas coupled to adjacent impurity sites in
high-frequency out-of-plane ac control electric field is investigated.
Modification of tunneling rates as a function of the field amplitude is
calculated. Nonlinear dependence on the ac field strength is reported for the
conductivity of two-dimensional electron gas. It develops a periodic peak
structure.
","Unbalanced Renormalization of Tunneling in MOSFET-type Structures in
  Strong High-Frequency Electric Fields"
"  The h index was introduced by Hirsch to quantify an individual's scientific
research output. It has been widely used in different fields to show the
relevance of the research work of prominent scientists. I have worked out 26
practical cases of physicists which are not so prominent. Therefore this case
study should be more relevant to discuss various features of the Hirsch index
which are interesting or disturbing or both for the more average situation. In
particular, I investigate quantitatively some pitfalls in the evaluation and
the influence of self-citations.
",A case study of the Hirsch index for 26 non-prominent physicists
"  It has been shown experimentally a long time ago that the magnetic ordering
causes an anomalous behavior of the electron resistivity in ferromagnetic
crystals. Phenomenological explanations based on the interaction between
itinerant electron spins and lattice spins have been suggested to explain these
observations. We show by extensive Monte Carlo simulation that this behavior is
also observed for the resistivity of the spin current calculated as a function
of temperature ($T$) from low-$T$ ordered phase to high-$T$ paramagnetic phase
in a ferromagnet. We show in particular that across the critical region, the
spin resistivity undergoes a huge peak. The origin of this peak is shown to
stem from the formation of magnetic domains near the phase transition. The
behavior of the resistivity obtained here is compared to experiments and
theories. A good agreement is observed.
","Effects of Ferromagnetic Magnetic Ordering and Phase Transition on the
  Resistivity of Spin Current"
"  Interacting electrons in quantum dots with large Thouless number $g$ in the
three classical random matrix symmetry classes are well-understood. When a
specific type of spin-orbit coupling known to be dominant in two dimensional
semiconductor quantum dots is introduced, we show that a new interacting
quantum critical crossover energy scale emerges and low-energy quasiparticles
generically have a decay width proportional to their energy. The low-energy
physics of this system is an example of a universal interacting crossover
regime.
",A Universal Interacting Crossover Regime in Two-Dimensional Quantum Dots
"  For closed and connected subgroups G of SO(n), we study the energy functional
on the space of G-structures of a (compact) Riemannian manifold M, where
G-structures are considered as sections of the quotient bundle O(M)/G. Then, we
deduce the corresponding first and second variation formulae and the
characterising conditions for critical points by means of tools closely related
with the study of G-structures. In this direction, we show the role in the
energy functional played by the intrinsic torsion of the G-structure. Moreover,
we analyse the particular case G=U(n) for even-dimensional manifolds. This
leads to the study of harmonic almost Hermitian manifolds and harmonic maps
from M into O(M)/U(n).
",Harmonic G-structures
"  mu Orionis was identified by spectroscopic studies as a quadruple star
system. Seventeen high precision differential astrometry measurements of mu Ori
have been collected by the Palomar High-precision Astrometric Search for
Exoplanet Systems (PHASES). These show both the motion of the long period
binary orbit and short period perturbations superimposed on that caused by each
of the components in the long period system being themselves binaries. The new
measurements enable the orientations of the long period binary and short period
subsystems to be determined. Recent theoretical work predicts the distribution
of relative inclinations between inner and outer orbits of hierarchical systems
to peak near 40 and 140 degrees. The degree of coplanarity of this complex
system is determined, and the angle between the planes of the A-B and Aa-Ab
orbits is found to be 136.7 +/- 8.3 degrees, near the predicted distribution
peak at 140 degrees; this result is discussed in the context of the handful of
systems with established mutual inclinations. The system distance and masses
for each component are obtained from a combined fit of the PHASES astrometry
and archival radial velocity observations. The component masses have relative
precisions of 5% (component Aa), 15% (Ab), and 1.4% (each of Ba and Bb). The
median size of the minor axes of the uncertainty ellipses for the new
measurements is 20 micro-arcseconds. Updated orbits for delta Equulei, kappa
Pegasi, and V819 Herculis are also presented.
","Masses, Luminosities, and Orbital Coplanarities of the mu Orionis
  Quadruple Star System from PHASES Differential Astrometry"
"  We aim at getting high spatial resolution information on the dusty core of
bipolar planetary nebulae to directly constrain the shaping process. Methods:
We present observations of the dusty core of the extreme bipolar planetary
nebula Menzel 3 (Mz 3, Hen 2-154, the Ant) taken with the mid-infrared
interferometer MIDI/VLTI and the adaptive optics NACO/VLT. The core of Mz 3 is
clearly resolved with MIDI in the interferometric mode, whereas it is
unresolved from the Ks to the N bands with single dish 8.2 m observations on a
scale ranging from 60 to 250 mas. A striking dependence of the dust core size
with the PA angle of the baselines is observed, that is highly suggestive of an
edge-on disk whose major axis is perpendicular to the axis of the bipolar
lobes. The MIDI spectrum and the visibilities of Mz 3 exhibit a clear signature
of amorphous silicate, in contrast to the signatures of crystalline silicates
detected in binary post-AGB systems, suggesting that the disk might be
relatively young. We used radiative-transfer Monte Carlo simulations of a
passive disk to constrain its geometrical and physical parameters. Its
inclination (74 degrees $\pm$ 3 degrees) and position angle (5 degrees $\pm$ 5
degrees) are in accordance with the values derived from the study of the lobes.
The inner radius is 9$\pm$ 1 AU and the disk is relatively flat. The dust mass
stored in the disk, estimated as 1 x 10-5Msun, represents only a small fraction
of the dust mass found in the lobes and might be a kind of relic of an
essentially polar ejection process.
",A silicate disk in the heart of the Ant
"  The correspondence between gyrofluid and low frequency fluid equations is
examined. The lowest order conservative effects in ExB advection, parallel
dynamics, and curvature match trivially. The principal concerns are
polarisation fluxes, and dissipative parallel viscosity and parallel heat
fluxes. The emergence of the polarisation heat flux in the fluid model and its
contribution to the energy theorem is reviewed. It is shown that gyroviscosity
and the polarisation fluxes are matched by the finite gyroradius corrections to
advection in the long wavelength limit, provided that the differences between
gyrocenter and particle representations is taken into account. The dissipative
parallel viscosity is matched by the residual thermal anisotropy in the
gyrofluid model in the collision dominated limit. The dissipative parallel heat
flux is matched by the gyrofluid parallel heat flux variables in the collision
dominated limit. Hence, the gyrofluid equations are a complete superset of the
low frequency fluid equations.
","Nonlinear polarisation and dissipative correspondence between low
  frequency fluid and gyrofluid equations"
"  Detection of a surprisingly high flux of positron annihilation radiation from
the inner galaxy has motivated the proposal that dark matter is made of weakly
interacting light particles (possibly as light as the electron). This scenario
is extremely hard to test in current high energy physics experiments. Here,
however, we demonstrate that the current value of the electron anomalous
magnetic moment already has the required precision to unambiguously test the
light dark matter hypothesis. If confirmed, the implications for astrophysics
are far-reaching.
",A new test of the light dark matter hypothesis
"  The first order nonlinear ODE d phi(t)/d t + sin phi(t)=B+A cos(omega t),
(A,B,omega are real constants) is investigated. Its general solution is derived
in the case of the choice of parameters ensuring the phase-lock mode. It is
represented in terms of Floquet solution of double confluent Heun equation.
","General solution of overdamped Josephson junction equation in the case
  of phase-lock"
"  We investigate the temperature and doping dependence of the optical
conductivity $\sigma(\omega)$ of Nd$_{2-x}$Ce$_x$CuO$_4$ in terms of
magnetic/lattice polaron formation. We employ dynamical mean-field theory in
the context of the Holstein-t-J model where an exact analytical solution is
available in the limit of infinite connectivity. We show that the pseudogap
features in the optical conductivity of this compound can be associated to the
formation of lattice polarons assisted by the magnetic interaction.
","Polaronic signatures in the optical properties of
  Nd$_{2-x}$Ce$_x$CuO$_4$"
"  Squashed entanglement is a promising entanglement measure that can be
generalized to multipartite case, and it has all of the desirable properties
for a good entanglement measure. In this paper we present computable lower
bounds to evaluate the multipartite squashed entanglement. We also derive some
inequalities relating the squashed entanglement to the other entanglement
measure.
",Lower bounds on the squashed entanglement for multi-party systems
"  We discuss a new approach for the numerical evaluation of loop integrals. The
fully numerical calculations of an infrared one-loop vertex and a box diagram
are demonstrated. To perform these calculations, we apply an extrapolation
method based on the $\epsilon$-algorithm. In our approach, the super high
precision control in the numerical manipulation is essential to handle the
infrared singularity. We adopt a multi-precision library named {\tt HMLib} for
the precision control in the calculations.
",Status reports from the GRACE Group
"  In this paper, we give a necessary condition for an infinite word defined by
a non-degenerate interval exchange on three intervals (3iet word) to be
invariant by a substitution: a natural parameter associated to this word must
be a Sturm number. We deduce some algebraic consequences from this condition
concerning the incidence matrix of the associated substitution. As a by-product
of our proof, we give a combinatorial characterization of 3iet words.
",Sturm numbers and substitution invariance of 3iet words
"  We study the positive, regular, radially symmetric solutions to the nonlinear
biharmonic equation $\Delta^2 \phi = \phi^p$. First, we show that there exists
a critical value $p_c$, depending on the space dimension, such that the
solutions are linearly unstable if $p<p_c$ and linearly stable if $p\geq p_c$.
Then, we focus on the supercritical case $p\geq p_c$ and we show that the
graphs of no two solutions intersect one another.
","Stability and intersection properties of solutions to the nonlinear
  biharmonic equation"
"  This is the second in a series of papers on the relation between algebraic
set theory and predicative formal systems. In part I, we introduced the notion
of a predicative category of small maps and obtained the result that such
categories always contain a model of set theory. In the present paper, we show
that the familiar realizability models of the constructive set theories CZF and
IZF can be obtained as an application of this result. For this purpose, we show
that predicative categories with small maps are closed under an internal notion
of realizability.
",Aspects of Predicative Algebraic Set Theory II: Realizability
